name,phone,whatsapp,address,district,districtCn,website,facebook,instagram,services,notes,rating,isVerified,isActive
"狗久金專業寵物美容部屋","61501816","","石硤尾偉智里白田購物中心商場內G72號舖","Others","","","","https://www.facebook.com/goldendogforever","","",0,false,true
"小主子寵物美容 pet master","61966455","","葵涌石文徑地下 2B 號舖金珮樓","Others","","","","https://www.facebook.com/p/Pet-Master-100063719153075/?locale=zh_HK","","",0,false,true
"TOPONEPET","64111643","","何文田勝利道11號號","Others","","","https://www.instagram.com/toponepetshop?fbclid=IwY2xjawJTfetleHRuA2FlbQIxMAABHehLboSXl6HcwJqlxXhWv7fnGdRYVmqKW6l3IJHLDuwY--HkN5Y-yelPRg_aem_i_ZLeVLwBPk8jTOMLeIEfQ","https://www.facebook.com/TopOnePet/?locale=zh_HK","","",0,false,true
"Petholic 寵物美容店","65000420","","Shop G23， Grand Waterfront Plaza， San Ma Tau St， To Kwa Wan","Others","","","https://www.instagram.com/petholic.hk/","https://www.facebook.com/p/Petholichk-100089572412304/","","",0,false,true
"Pampered pets shop","97311608","","鍘鰂魚涌街","Others","","","","","","",0,false,true
"OK Pet Fan Club Limited 愛家心寵物有限公司Pet Grooming & Products 寵物美容及用品","23048844","","觀塘開源道55號開聯工業中心Unit 525 Block A","Others","","","https://www.instagram.com/momopetcorner/","https://www.facebook.com/momopetcorner/","","",0,false,true
"Pretty Pet Star 明星寵物美容","67389730","","1 樓， 14號 Sai Kung Tai St， Sai Kung","Others","","","https://www.instagram.com/prettypetstar/","https://www.facebook.com/prettypetstar/","","",0,false,true
"長城專業寵物美容服務","27121656","","九龍何文田勝利道26A號地下","Others","","","","","","",0,false,true
"Jana ElbVoss Pet Beauty Salon","52083198","","上環干諾道西42號高富大廈501室","Others","","","https://www.instagram.com/jana.elbvoss_petbeauty_salon","https://www.facebook.com/janaelbvosspet/","","",0,false,true
"bDOG Tokyo Dog Grooming Salon","27916555","","西貢德隆後街9號","Others","","","https://www.instagram.com/bdogtokyogroomingsalon/","https://www.facebook.com/bdog.tokyo/?locale=zh_HK","","",0,false,true
"兆和動物理療","65743111","","何文田亞皆老街100號地舖FLAT W （ 亞皆老街與勝利道交界皆寧大廈A座","Others","","","https://www.instagram.com/hvmcentre/","https://www.facebook.com/hvmcentre/?locale=zh_HK","","",0,false,true
"寵物世界美容中心","24242833","","葵芳葵富路葵涌廣場1樓 61A舖","Others","","","","","","",0,false,true
"WOW WOW Pets Beauty寵物美容專門店","94804534","","G/F， 彩華花園C座 Shop6， 351 Castle Peak Road-Castle Peak Bay， Tuen Mun","Others","","","https://www.instagram.com/wowwow_petsbeauty/","https://www.facebook.com/p/WOW-WOW-PETS-Beauty-100078397897434/?locale=zh_HK","","",0,false,true
"哆美寵物美容 More Beauty Pet Salon","57763885","","荃灣大壩街77號圓墩圍59-61號 大苑樓地舖 B1","Others","","","https://www.instagram.com/morebeautypetsalon/","https://www.facebook.com/weiyao.li.3/","","",0,false,true
"豆汀寵物美容","25617838","","北角馬寶道77號地下H舖康樂大廈","Others","","","https://www.instagram.com/sayandou_pet_house/","","","",0,false,true
"豆汀寵物美容","","","小西灣富欣道75號地下","Others","","","","","","",0,false,true
"夢工場寵物美容","36934206","","荔枝角道863號泓景臺地下1D","Others","","","","","","",0,false,true
"新凌志寵物店","24992537","","荃灣鱟地坊龍華樓15號地下","Others","","","","https://www.facebook.com/p/%E6%96%B0%E5%87%8C%E5%BF%97%E5%AF%B5%E7%89%A9%E5%BA%97New-Lenxi-Pet-Shop-100063961693599/?locale=zh_HK","","",0,false,true
"PRIVATE i PETS FW","","","Shop G29， G/F， Festival Walk， 80 Tat Chee Avenue， Kowloon Tong， Hong Kong","Others","","","https://www.instagram.com/privateipets/","https://www.facebook.com/PRIVATEiPETS/?locale=zh_HK","","",0,false,true
"PRIVATE i PETS FW","","","1/F， 10 Cleveland Street， Causeway Bay (Gloucester Road Main Entrance)","Others","","","","","","",0,false,true
"Pet Villa SYP","63943070","","西營盤第三街32號至36號三喜樓地下C鋪","Others","","","https://www.instagram.com/petvilla_hk/","https://www.facebook.com/PetVillahk#","","",0,false,true
"Pet Villa SYP","63943070","","灣仔啟光商業大廈5樓","Others","","","","","","",0,false,true
"Pet Villa SYP","98205202","","何文田自由道11號VAU Residences一樓全層","Others","","","","","","",0,false,true
"寵愛妳 Love Pets House","27778938","","大埔墟懷義街9號地下","Others","","","https://www.instagram.com/lovepetshouse_taipo/?hl=fr-ca","","","",0,false,true
"Q Cute Pet Market","52290018","","新界葵涌和宜合道10號保基大樓地下8舖","Others","","","","https://www.facebook.com/Qcutepetmarket/","","",0,false,true
"笨蕉寵物屋","54054401","","粉嶺聯和墟和泰街39號地下後舖E舖","Others","","","","https://www.facebook.com/profile.php?id=100057176120876","","",0,false,true
"D&C Pet stu dio","","","火炭坳背灣街協興工業中心","Others","","","https://www.instagram.com/dc.pets/?api=1%2F&hl=zh-cn","","","",0,false,true
"Sweet Sweet Hut Pet Grooming","25788773","","號地下， 10 Ming Yuen Western St， North Point","Others","","","","","","",0,false,true
"夠老友寵物美容店（Jack'sPetGroomingShop)","52862990","","荃灣荃景圍208號荃德花園10A 地舖","Others","","","https://www.instagram.com/jackpetgroomingshop/","https://www.facebook.com/JacksPetGroomingShop/?_rdr","","",0,false,true
